RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
New York,NY,New York-Newark-Jersey City,Queens County,1,,,,,,,,,,,,,,,,,,,,,2475,2350,2500,2595,2595,2600,2535,2500,2500,2400,2400,2400,2500,2504.5,2500,2500,2457,2385,2350,2395,2600,2695,2725,2600,2650,2555,2500,2560,2550,2512.5,2500,2500,2500,2500,2500,2550,2550,2683,2595,2425,2600,2600,2600,2600,2650,2700,2695,2650,2675,2600,2600,2675,2650,2650,2698,2700,2750,2745,2700,2700,2800,2800,2775,2695,2600,2600,2600,2650,2650,2650,2700,2700,2672,2625,2600,2600,2569.5,2550,2500,2500,2600,2595,2600,2600,2600,2599,2559,2500,2500,2500
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2795,2700,2700,2700,2995,3200,3295,3250,3300,3200,3250,3300,3300,3275,3350,3500,3700,3885,3700,3897.5,3800,3750,3500,3500,3950,4000,4000,3995,3895,3934,3750,3500,3900,3500,3995,3695,3700,3900,3992.5,4000,4200,4150,4100,4100,4000,3995,3975,3995,3800,3750,3750,3950,3950,4100,4000,4000,4000,4000,4000,3995,3950,3980
Chicago,IL,Chicago-Naperville-Elgin,Cook County,3,,,1550,1500,1495,1587.5,1600,1500,1650,1700,1750,1750,1600,1575,1550,1590.5,1600,1600,1650,1614,1615,1599,1550,1545,1550,1545,1575,1500,1550,1600,1600,1586,1500,1500,1490,1514.5,1508.5,1490,1500,1500,1526,1500,1570,1550,1550,1549,1550,1600,1562,1537,1544,1541.5,1623,1609,1635,1650,1687,1690.5,1698,1658,1650,1617.5,1620.5,1650,1655,1602,1602,1635,1627,1600,1600,1553,1561,1550,1558,1565,1590,1549,1575,1562,1550,1573,1550,1551,1500,1492,1500,1500,1550,1532.5,1589,1559,1550,1542.5,1500,1513,1500,1500,1512,1570,1575,1600,1602,1600.5,1600,1575,1554,1550,1550,1575
Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1200,1250,1250,1295,1350,1400,1400,1450,1450,1450,1450,1450,1450,1450,1450,1500,1525,1550,1595,1575,1550,1525,1500,1550,1550,1550,1575,1595,1595,1500,1500,1495,1500,1495,1450,1475,1400,1500,1500,1500,1550,1575,1590,1595,1575,1575,1500,1500,1500,1500,1500,1525,1580,1599,1600,1600,1600,1590,1550,1550,1550,1550,1550
San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,890,925,922,1050,969.5,1075,1090,1095,1075,1095,1082,1095,1100,1125,1100,1150,1175,1150,1137,1125,1100,1100,1102,1135,1146,1125,1150,1150,1145,1125,1100,1105,1125,1125,1141,1145,1100,1095,1095,1098,1095,1095.5,1074,1074,1099,1037.5,1166,1195,1200,1200,1245,1295,1285,1266.5,1250,1250,1248,1240,1250,1250,1250,1275,1295,1300,1300,1300,1295,1295,1295,1295,1295,1295
Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,,,,,,,,,,,,,,,,1400,1350,1300,1350,1375,1300,1200,1200,1200,1200,1250,1350,1350,1300,1295,1250,1200,1100,1100,1100,1000,1000,1050,1100,1250,1300,1300,1250,1200,1199,1125,1150,1100,1150,1150,1195,1200,1400,1400,1400,1350,1300,1250,1250,1250,1298,1300,1375,1475,1500,1500,1472.5,1400,1395,1350,1350,1300,1300,1350,1457.5,1500,1500,1412.5,1300,1300,1275,1200,1290,1200,1250,1300,1350,1450,1475,1475,1400,1350,1300,1300,1350,1350,1300,1345,1400,1450,1500,1455,1400,1395,1350,1350,1350,1350,1350,1350
Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,,1300,1250,1250,1250,1225,1200,1200,1195,1150,1162.5,1150,1095,1095,1095,1100,1100,1100,1100,1099.5,1075,1050,1000,1000,1000,1025,1075,1095,1099,1100,1100,1095,1075,1050,1050,1025,1050,1050,1050,1050,1052,1095,1095,1025,1100,1100,1095,1100,1100,1095,1100,1100,1175,1195,1195,1200,1195,1195,1195,1200,1200,1200,1250,1250,1250,1250,1250,1250,1225,1250,1245,1250,1275,1275,1295,1295,1295,1300,1295,1279,1295,1275,1275,1250,1295,1328,1350,1400,1400,1400,1400,1395,1395,1375,1355,1395,1370,1395,1418,1450,1495,1495,1500,1495,1477,1475,1495,1495,1499,1500
Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,,1400,1350,1295,1300,1295,1250,1250,1295,1250,1250,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1195,1195,1195,1195,1150,1175,1150,1195,1195,1175,1150,1150,1150,1125,1125,1145,1145,1150,1150,1175,1175,1195,1195,1195,1190,1195,1195,1195,1195,1195,1195,1200,1200,1200,1225,1225,1225,1200,1200,1225,1250,1250,1250,1250,1250,1295,1295,1295,1290,1295,1275,1275,1295,1300,1300,1300,1300,1295,1295,1295,1295,1295,1250,1300,1350,1350,1350,1395,1399,1400,1400,1395,1395,1399,1400,1400,1435,1450,1495,1495,1495,1499.5,1500,1510,1540,1540,1550,1550,1575
San Diego,CA,San Diego-Carlsbad,San Diego County,9,,,,,,,,,,,,,,,2800,2900,2900,2850,2750,2700,2575,2400,2300,2300,2295,2300,2295,2175,2195,2300,2300,2299,2300,2285,2200,2195,2162.5,2100,2100,2200,2395,2400,2450,2550,2675,2600,2400,2550,2495,2400,2350,2350,2600,2750,2700,2695,2650,2650,2750,2650,2750,2850,2695,2700,2695,2695,2695,2700,2695,2650,2695,2750,2800,2900,2800,2800,2700,2700,2700,2700,2600,2650,2600,2600,2800,2900,2900,2950,3000,3000,2985,2995,2950,2895,2895,2950,2900,2995,2950,3000,3100,3145,3200,3150,3000,2950,2950,3000,3000,3150
Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1195,1195,1175,1193.5,1150,1195,1195,1170,1195,1200,1200,1195,1200,1200,1200,1250,1250,1195,1295,1232.5,1200,1200,1250,1350,1350,1350,1350,1350,1309,1298,1300,1300,1300,1400,1450,1450,1500,1500,1550,1450,1450,1450,1495,1495,1550,1600,1600,1595,1550,1500,1512.5,1500,1495,1550,1495,1595,1600,1695,1750,1790,1850,1795,1799,1795,1695,1695,1695,1695,1650,1650,1695,1700,1695,1700,1695,1625,1650,1675,1675,1700,1690
