Table with row headings in column A and column headings and rows 5-8.,,,,,,,,
Table 1. Rental and Homeowner Vacancy Rates for the United States: 1965 to 2018                                                        ,,,,,,,,
(in percent),,,,,,,,
,,,,,,,,
Year,Rental Vacancy Rates,,,,Homeowner Vacancy Rates,,,
,,,,,,,,
,First Quarter,Second Quarter ,Third Quarter,Fourth Quarter,First Quarter,Second Quarter ,Third Quarter,Fourth Quarter
,,,,,,,,
,,,,,,,,
2018...…………..…….,7,6.8,7.1,6.6,1.5,1.5,1.6,1.5
2017...…………..…….,7,7.3,7.5,6.9,1.7,1.5,1.6,1.6
2016...…………..…….,7,6.7,6.8,6.9,1.7,1.7,1.8,1.8
2015...…………..…….,7.1,6.8,7.3,7,1.9,1.8,1.9,1.9
2014...…………..…….,8.3,7.5,7.4,7,2,1.9,1.8,1.9
2013...…………..…….,8.6,8.2,8.3,8.2,2.1,1.9,1.9,2.1
2012...…………..…….,8.8,8.6,8.6,8.7,2.2,2.1,1.9,1.9
2011………………….,9.7,9.2,9.8,9.4,2.6,2.5,2.4,2.3
2010………………….,10.6,10.6,10.3,9.4,2.6,2.5,2.5,2.7
,,,,,,,,
2009………………….,10.1,10.6,11.1,10.7,2.7,2.5,2.6,2.7
2008………………….,10.1,10,9.9,10.1,2.9,2.8,2.8,2.9
2007………………….,10.1,9.5,9.8,9.6,2.8,2.6,2.7,2.8
2006…….……………,9.5,9.6,9.9,9.8,2.1,2.2,2.5,2.7
2005………………….,10.1,9.8,9.9,9.6,1.8,1.8,1.9,2
2004………………….,10.4,10.2,10.1,10,1.7,1.7,1.7,1.8
2003.………....………,9.4,9.6,9.9,10.2,1.7,1.7,1.9,1.8
2002r1…………..…….,9.1,8.4,9,9.3,1.7,1.7,1.7,1.7
2002......……...………,9.1,8.5,9.1,9.4,1.7,1.7,1.7,1.7
2001......………….…..,8.2,8.3,8.4,8.8,1.5,1.8,1.9,1.8
2000......………….…..,7.9,8,8.2,7.8,1.6,1.5,1.6,1.6
,,,,,,,,
1999........…………….,8.2,8.1,8.2,7.9,1.8,1.6,1.6,1.6
1998...........…………..,7.7,8,8.2,7.8,1.7,1.7,1.7,1.8
1997...........…………..,7.5,7.9,7.9,7.7,1.7,1.6,1.5,1.7
1996...........…………..,7.9,7.8,8,7.7,1.6,1.5,1.7,1.7
1995.......………..........,7.4,7.7,7.7,7.7,1.5,1.6,1.5,1.6
1994.....….……….......,7.5,7.4,7.2,7.4,1.4,1.4,1.4,1.6
1993r2.........………......,7.8,7.6,7,6.9,1.4,1.4,1.4,1.4
1993.......…………......,7.9,7.6,7.1,6.9,1.4,1.4,1.4,1.4
1992.......…………......,7.4,7.7,7.3,7.1,1.5,1.6,1.6,1.5
1991.......…………......,7.5,7.3,7.6,7.3,1.7,1.8,1.8,1.6
1990.......…………......,7.5,7,7.2,7.2,1.7,1.7,1.7,1.7
,,,,,,,,
1989r3.....…………......,7.5,7.4,7.6,7.1,1.7,1.7,1.9,1.8
1989.....…………........,7.3,7.3,7.3,6.8,1.5,1.6,1.8,1.6
1988......………….......,8,7.7,7.8,7.3,1.6,1.6,1.6,1.6
1987........………….....,7.4,7.5,8.1,7.8,1.7,1.7,1.7,1.6
1986......………….......,6.9,7.3,7.5,7.7,1.5,1.7,1.6,1.6
1985......………….......,6.3,6.2,6.8,6.7,1.8,1.9,1.8,1.6
1984..…………...........,5.6,5.5,6,6.3,1.6,1.7,1.7,1.7
1983..…………...........,5.7,5.5,5.8,5.5,1.4,1.5,1.6,1.6
1982..…………...........,5.3,5.1,5.3,5.5,1.4,1.6,1.5,1.6
1981..…………...........,5.2,5,5,5,1.3,1.3,1.5,1.4
1980..…………...........,5.2,5.6,5.7,5,1.3,1.4,1.4,1.4
,,,,,,,,
1979r4.....…………......,5.1,5.5,5.7,5.4,1.1,1.1,1.2,1.3
1979……….…............,4.8,5,5.2,5,1,1.1,1.1,1.1
1978...…………..........,5,5.1,5,5,1,0.9,1,1.1
1977..…………...........,5.1,5.3,5.4,5.1,1.3,1.3,1.1,1
1976.......…………......,5.5,5.8,5.7,5.3,1.2,1.2,1.3,1.2
1975...…………..........,6.1,6.3,6.2,5.4,1.2,1.2,1.4,1.2
1974...…………..........,6.2,6.3,6.2,6,1.2,1.1,1.2,1.3
1973...…………..........,5.7,5.8,5.8,5.8,1,0.9,1.1,1.2
1972...…………..........,5.3,5.5,5.8,5.6,1,1,0.9,1
1971...…………..........,5.3,5.3,5.6,5.6,1,0.9,1,1
1970.......…………......,5.4,5.4,5.3,5.2,1,1,1.1,1.1
,,,,,,,,
1969.....…………........,5.6,5.7,5.5,5.1,1,1,1.1,1
1968..…………...........,6.1,6.2,5.9,5.4,1.1,1.1,1.2,1.2
1967..…………...........,7.3,6.9,7,6.2,1.4,1.3,1.4,1.3
1966..…………...........,8.3,7.4,7.4,7.7,1.5,1.5,1.4,1.3
1965..…………...........,8.5,8.2,7.8,8.5,1.7,1.5,1.6,1.5
Footnotes:,,,,,,,,
r1 Revised based on the 2000 Census.,,,,,,,,
r2 Revised based on the 1990 Census.,,,,,,,,
r3 Revised to include year-round vacant mobile homes.,,,,,,,,
r4 Revised to reflect changes made in 1980. See Source and Accuracy Statement for more information.,,,,,,,,
,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey/Housing Vacancy Survey, February 28, 2019.",,,,,,,,
